type,id,lat,lon,tags/bus,tags/public_transport,tags/distance,tags/highway,tags/name,tags/name:en,tags/barrier,tags/maxheight,tags/railway,tags/crossing,tags/crossing_ref,tags/traffic_signals,tags/traffic_signals:direction,tags/access,tags/foot,tags/swing_gate:type,tags/noexit,tags/crossing:barrier,tags/crossing:bell,tags/crossing:light,tags/operator,tags/bench,tags/shelter,tags/alt_name,tags/ramp:wheelchair,tags/amenity,tags/ele,tags/ele:msl,tags/ele:source,tags/source,tags/gate:type,tags/entrance,tags/traffic_calming,tags/button_operated,tags/bicycle,tags/tactile_paving,tags/horse,tags/motor_vehicle,tags/material,tags/access:conditional,tags/vehicle,tags/locked,tags/kerb,tags/traffic_sign,tags/crossing:markings,nodes/0,nodes/1,nodes/2,nodes/3,nodes/4,nodes/5,nodes/6,nodes/7,nodes/8,nodes/9,nodes/10,nodes/11,nodes/12,nodes/13,nodes/14,nodes/15,nodes/16,nodes/17,nodes/18,nodes/19,tags/lanes,tags/motorcycle,tags/oneway,tags/smoothness,tags/surface,tags/width,tags/maxspeed,tags/sidewalk,nodes/20,nodes/21,nodes/22,nodes/23,tags/oneway:motorcar,tags/oneway:motorcycle,tags/oneway:conditional,tags/lanes:backward,tags/lanes:forward,tags/bridge,tags/layer,tags/motor_vehicle:conditional,tags/maxlength,tags/motorcar,tags/service,tags/old_name,tags/level,nodes/24,nodes/25,nodes/26,nodes/27,nodes/28,nodes/29,nodes/30,nodes/31,tags/lane_markings,nodes/32,nodes/33,nodes/34,nodes/35,nodes/36,tags/turn:lanes,tags/junction,tags/maxspeed:advisory,tags/turn:lanes:forward,tags/lit,nodes/37,nodes/38,nodes/39,nodes/40,nodes/41,nodes/42,nodes/43,nodes/44,tags/parking:lane:left,tags/parking:lane:left:parallel,tags/parking:lane:right,tags/bridge:structure,tags/fixme,tags/bridge:name,tags/noname,tags/tunnel,tags/cycleway,tags/ford,tags/description,tags/addr:city,tags/narrow,tags/incline,tags/import,nodes/45,nodes/46,nodes/47,nodes/48,tags/note,tags/covered
node,271845610,-7.7894278,110.3700219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,271845611,-7.7895169,110.3662769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,271845617,-7.7879077,110.3729395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,271845618,-7.7879939,110.3723518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,271845623,-7.7896628,110.3682036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,271845627,-7.7896718,110.3692012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,271845628,-7.7899015,110.3690141,,,,,,,height_restrictor,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,271845632,-7.7894971,110.3698896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,271845911,-7.7827808,110.3574152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,271845915,-7.8015868,110.3730942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
